Gene Symbol,Role in Cancer
A1CF,OG
ACVR1,OG
ACVR2A,TSG
AKT1,OG
AKT2,OG
AKT3,OG
AMER1,TSG
APC,TSG
AR,OG
ARAF,OG
ARHGAP5,OG
ARHGEF10,TSG
ARHGEF10L,TSG
ARID1B,TSG
ARID2,TSG
ASXL1,TSG
ASXL2,TSG
ATM,TSG
ATP2B3,TSG
ATR,TSG
ATRX,TSG
AXIN1,TSG
AXIN2,TSG
B2M,TSG
BAP1,TSG
BARD1,TSG
BAX,TSG
BAZ1A,TSG
BCL2L12,OG
BLM,TSG
BRCA1,TSG
BRCA2,TSG
BRIP1,TSG
BUB1B,TSG
CACNA1D,OG
CALR,OG
CARD11,OG
CASP3,TSG
CASP8,TSG
CASP9,TSG
CBLB,TSG
CCNC,TSG
CCNE1,OG
CCR4,OG
CCR7,OG
CD28,OG
CD79A,OG
CD79B,OG
CDC73,TSG
CDH1,TSG
CDH10,TSG
CDH17,OG
CDK12,TSG
CDK4,OG
CDKN1B,TSG
CDKN2A,TSG
CDKN2C,TSG
CEBPA,TSG
CHD2,TSG
CHD4,OG
CHEK2,TSG
CNOT3,TSG
CNTNAP2,TSG
CPEB3,TSG
CSF1R,OG
CSF3R,OG
CSMD3,TSG
CTCF,TSG
CTNNA2,OG
CTNND2,OG
CUL3,TSG
CXCR4,OG
CYLD,TSG
CYSLTR2,OG
DDR2,OG
DDX3X,TSG
DGCR8,OG
DICER1,TSG
DNM2,TSG
DNMT3A,TSG
DROSHA,TSG
EED,TSG
EGFR,OG
ELF3,TSG
ERBB3,OG
ERCC2,TSG
ERCC3,TSG
ERCC4,TSG
ERCC5,TSG
ETNK1,TSG
EXT2,TSG
FANCA,TSG
FANCC,TSG
FANCD2,TSG
FANCE,TSG
FANCF,TSG
FANCG,TSG
FAS,TSG
FAT1,TSG
FAT4,TSG
FBLN2,TSG
FBXO11,TSG
FBXW7,TSG
FEN1,TSG
FGFR4,OG
FH,TSG
FLCN,TSG
FLT3,OG
FLT4,OG
FOXA1,OG
FUBP1,OG
GATA2,OG
GNA11,OG
GNAQ,OG
GNAS,OG
GPC5,TSG
GRIN2A,TSG
GRM3,OG
H3F3A,OG
H3F3B,OG
HIF1A,OG
HIST1H3B,OG
HNF1A,TSG
HRAS,OG
ID3,TSG
IDH1,OG
IDH2,OG
IGF2BP2,TSG
IKBKB,OG
IL6ST,OG
IL7R,OG
JAK3,OG
JUN,OG
KAT7,OG
KCNJ5,OG
KDM5C,TSG
KDR,OG
KEAP1,TSG
KIT,OG
KLF6,TSG
KMT2C,TSG
KNSTRN,OG
KRAS,OG
LARP4B,TSG
LATS1,TSG
LATS2,TSG
LEPROTL1,TSG
LRP1B,TSG
LZTR1,TSG
MACC1,OG
MAP2K1,OG
MAP2K2,OG
MAPK1,OG
MAX,TSG
MDM2,OG
MDM4,OG
MED12,TSG
MEN1,TSG
MET,OG
MGMT,TSG
MITF,OG
MLH1,TSG
MPL,OG
MSH2,TSG
MSH6,TSG
MTOR,OG
MUC16,OG
MUC4,OG
MUTYH,TSG
MYCL,OG
MYCN,OG
MYD88,OG
MYOD1,OG
N4BP2,TSG
NBN,TSG
NCOR1,TSG
NCOR2,TSG
NF2,TSG
NFKBIE,TSG
NRAS,OG
NT5C2,OG
NTHL1,TSG
PALB2,TSG
PBRM1,TSG
PHF6,TSG
PHOX2B,TSG
PIK3CA,OG
PIK3CB,OG
PIK3R1,TSG
PMS2,TSG
POLD1,TSG
POLE,TSG
POLG,TSG
POT1,TSG
PPM1D,OG
PPP2R1A,TSG
PPP6C,TSG
PRDM1,TSG
PRDM2,TSG
PREX2,OG
PRF1,TSG
PRKACA,OG
PTCH1,TSG
PTEN,TSG
PTPN11,OG
PTPN13,TSG
PTPN6,TSG
PTPRB,TSG
PTPRC,TSG
PTPRD,TSG
PTPRT,TSG
RAC1,OG
RAD17,TSG
RB1,TSG
RBM10,TSG
REL,OG
RFWD3,TSG
RNF43,TSG
ROBO2,TSG
RPL10,TSG
RPL5,TSG
SALL4,OG
SBDS,TSG
SDHA,TSG
SDHAF2,TSG
SDHB,TSG
SDHC,TSG
SDHD,TSG
SETD1B,TSG
SETD2,TSG
SETDB1,OG
SF3B1,OG
SFRP4,TSG
SGK1,OG
SH2B3,TSG
SIRPA,TSG
SIX1,OG
SIX2,OG
SKI,OG
SMAD2,TSG
SMAD3,TSG
SMAD4,TSG
SMARCA4,TSG
SMARCB1,TSG
SMARCD1,TSG
SMARCE1,TSG
SMC1A,TSG
SMO,OG
SOCS1,TSG
SOX2,OG
SOX21,TSG
SPEN,TSG
SPOP,TSG
SRC,OG
SRSF2,OG
STAG1,TSG
STAG2,TSG
STAT3,OG
STK11,TSG
SUFU,TSG
TENT5C,TSG
TET2,TSG
TGFBR2,TSG
TMEM127,TSG
TNC,OG
TNFAIP3,TSG
TNFRSF14,TSG
TRAF7,TSG
TRRAP,OG
TSC1,TSG
TSC2,TSG
TSHR,OG
U2AF1,OG
UBR5,OG
USP44,TSG
USP8,OG
VHL,TSG
WAS,OG
WNK2,TSG
WRN,TSG
XPA,TSG
XPC,TSG
XPO1,OG
ZEB1,OG
ZFHX3,TSG
ZMYM3,TSG
ZNRF3,TSG
ZRSR2,TSG
