,Entry,Gene Symbol,Role in Cancer
0,Q6FHJ7,SFRP4,TSG
1,Q04771,ACVR1,OG
2,P21860,ERBB3,OG
3,P08581,MET,OG
4,Q6ZN28,MACC1,OG
5,O14521,SDHD,TSG
6,Q9NRM7,LATS2,TSG
7,Q02750,MAP2K1,OG
8,P43246,MSH2,TSG
9,Q99836,MYD88,OG
10,P40189,IL6ST,OG
11,Q70Z35,PREX2,OG
12,Q8NEZ4,KMT2C,TSG
13,P04198,MYCN,OG
14,Q9NQ94,A1CF,OG
15,P61769,B2M,TSG
16,P31751,AKT2,OG
17,P28715,ERCC5,TSG
18,Q00597,FANCC,TSG
19,P36888,FLT3,OG
20,Q969H0,FBXW7,TSG
21,Q8NFG4,FLCN,TSG
22,P22455,FGFR4,OG
23,Q9UHC6,CNTNAP2,TSG
24,P61073,CXCR4,OG
25,P55211,CASP9,TSG
26,Q7Z407,CSMD3,TSG
27,P31749,AKT1,OG
28,Q14790,CASP8,TSG
29,P51679,CCR4,OG
30,Q8IXJ9,ASXL1,TSG
31,P11802,CDK4,OG
32,P46100,ATRX,TSG
33,Q99643,SDHC,TSG
34,P28340,POLD1,TSG
35,O75175,CNOT3,TSG
36,P50570,DNM2,TSG
37,P19447,ERCC3,TSG
38,Q9HB96,FANCE,TSG
39,P29992,GNA11,OG
40,Q8IWS0,PHF6,TSG
41,P41229,KDM5C,TSG
42,O95835,LATS1,TSG
43,P48544,KCNJ5,OG
44,P35240,NF2,TSG
45,P08575,PTPRC,TSG
46,P23468,PTPRD,TSG
47,Q8WXI7,MUC16,OG
48,P42345,MTOR,OG
49,P16871,IL7R,OG
50,P27986,PIK3R1,TSG
51,Q13635,PTCH1,TSG
52,Q9NZR2,LRP1B,TSG
53,Q96T58,SPEN,TSG
54,Q99453,PHOX2B,TSG
55,P39748,FEN1,TSG
56,P12524,MYCL,OG
57,O15151,MDM4,OG
58,P05412,JUN,OG
59,O75030,MITF,OG
60,O00255,MEN1,TSG
61,P16455,MGMT,TSG
62,O95214,LEPROTL1,TSG
63,Q6V0I7,FAT4,TSG
64,P40259,CD79B,OG
65,P27037,ACVR2A,TSG
66,Q9NRL2,BAZ1A,TSG
67,P42574,CASP3,TSG
68,Q99728,BARD1,TSG
69,P49715,CEBPA,TSG
70,P78545,ELF3,TSG
71,P61244,MAX,TSG
72,Q02535,ID3,TSG
73,P28482,MAPK1,OG
74,Q92615,LARP4B,TSG
75,Q9Y6M1,IGF2BP2,TSG
76,P14222,PRF1,TSG
77,Q86U86,PBRM1,TSG
78,Q9Y618,NCOR2,TSG
79,O14920,IKBKB,OG
80,Q8N653,LZTR1,TSG
81,P07954,FH,TSG
82,P48735,IDH2,OG
83,Q99612,KLF6,TSG
84,Q9HCE6,ARHGEF10L,TSG
85,P40692,MLH1,TSG
86,P10721,KIT,OG
87,Q16832,DDR2,OG
88,Q9NQC7,CYLD,TSG
89,Q9BXW9,FANCD2,TSG
90,O75874,IDH1,OG
91,P54132,BLM,TSG
92,P26232,CTNNA2,OG
93,P23769,GATA2,OG
94,P98095,FBLN2,TSG
95,P52333,JAK3,OG
96,P78333,GPC5,TSG
97,Q93074,MED12,TSG
98,Q93063,EXT2,TSG
99,O00221,NFKBIE,TSG
100,Q9UQB3,CTNND2,OG
101,Q14832,GRM3,OG
102,Q5JWF2,GNAS,OG
103,P63092,GNAS,OG
104,O95467,GNAS,OG
105,P84996,GNAS,OG
106,Q9UPY3,DICER1,TSG
107,Q07864,POLE,TSG
108,Q9BXL7,CARD11,OG
109,P10747,CD28,OG
110,P20823,HNF1A,TSG
111,Q86XK2,FBXO11,TSG
112,Q9BX63,BRIP1,TSG
113,Q00987,MDM2,OG
114,Q16665,HIF1A,OG
115,O15297,PPM1D,OG
116,O95251,KAT7,OG
117,Q12864,CDH17,OG
118,Q9HBU6,ETNK1,TSG
119,O15287,FANCG,TSG
120,Q01081,U2AF1,OG
121,P37275,ZEB1,OG
122,Q15911,ZFHX3,TSG
123,Q13017,ARHGAP5,OG
124,P52701,MSH6,TSG
125,P29350,PTPN6,TSG
126,P42338,PIK3CB,OG
127,Q14145,KEAP1,TSG
128,O75533,SF3B1,OG
129,P12931,SRC,OG
130,Q9UPS6,SETD1B,TSG
131,O75204,TMEM127,TSG
132,Q12923,PTPN13,TSG
133,P40238,MPL,OG
134,P31040,SDHA,TSG
135,Q9Y651,SOX21,TSG
136,P01116,KRAS,OG
137,P46777,RPL5,TSG
138,Q14191,WRN,TSG
139,Q9UQQ2,SH2B3,TSG
140,O15524,SOCS1,TSG
141,Q8WVM7,STAG1,TSG
142,P40818,USP8,OG
143,O43791,SPOP,TSG
144,Q15475,SIX1,OG
145,P36507,MAP2K2,OG
146,Q06124,PTPN11,OG
147,P06400,RB1,TSG
148,Q6PCD5,RFWD3,TSG
149,P51532,SMARCA4,TSG
150,P16473,TSHR,OG
151,P48431,SOX2,OG
152,Q15831,STK11,TSG
153,P54278,PMS2,TSG
154,Q04864,REL,OG
155,P21912,SDHB,TSG
156,Q9HCK4,ROBO2,TSG
157,Q15047,SETDB1,OG
158,Q6Q0C0,TRAF7,TSG
159,O00141,SGK1,OG
160,Q969G3,SMARCE1,TSG
161,Q9UIF7,MUTYH,TSG
162,O60934,NBN,TSG
163,P40763,STAT3,OG
164,Q9NPC8,SIX2,OG
165,Q9Y448,KNSTRN,OG
166,P23467,PTPRB,TSG
167,Q99102,MUC4,OG
168,P24821,TNC,OG
169,P21580,TNFAIP3,TSG
170,Q86UW6,N4BP2,TSG
171,Q9NX18,SDHAF2,TSG
172,Q9Y4A5,TRRAP,OG
173,Q12879,GRIN2A,TSG
174,O14980,XPO1,OG
175,P35968,KDR,OG
176,Q9BYW2,SETD2,TSG
177,P37173,TGFBR2,TSG
178,P84022,SMAD3,TSG
179,Q14683,SMC1A,TSG
180,Q9Y3A5,SBDS,TSG
181,P12755,SKI,OG
182,Q9Y3S1,WNK2,TSG
183,P23025,XPA,TSG
184,Q92889,ERCC4,TSG
185,P35916,FLT4,OG
186,P00533,EGFR,OG
187,Q86YC2,PALB2,TSG
188,O75376,NCOR1,TSG
189,Q15796,SMAD2,TSG
190,P01112,HRAS,OG
191,P78324,SIRPA,TSG
192,Q12824,SMARCB1,TSG
193,P15172,MYOD1,OG
194,P42336,PIK3CA,OG
195,Q99835,SMO,OG
196,Q13029,PRDM2,TSG
197,Q9NUX5,POT1,TSG
198,Q13485,SMAD4,TSG
199,Q92956,TNFRSF14,TSG
200,Q9ULT6,ZNRF3,TSG
